Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,Selling  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1163097400,14-04-2024,45.45,-6.49,457543.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,1.8572,73.86443
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1163242213,15-04-2024,45.45,-51.94,457543.0,BOX,Issue to Patient,1.1428,39.77193,-45.45136,0.7144,28.41307
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1163292709,15-04-2024,45.45,-12.99,457543.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.4287,17.05023
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1163342418,15-04-2024,45.45,-12.99,457543.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.143,5.68739
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1165739578,20-04-2024,45.45,-19.48,457544.0,BOX,Issue to Patient,0.4285,39.77193,-17.04227,0.7145,28.41705
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1166947525,22-04-2024,45.45,-19.48,457544.0,BOX,Issue to Patient,0.4285,39.77193,-17.04227,0.286,11.37477
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1178404414,13-05-2024,45.45,-45.45,457545.0,BOX,Issue to Patient,1.0,39.77193,-39.77193,0.286,11.37477
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1178806315,13-05-2024,45.45,-6.49,457545.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,0.4289,17.05818
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1178832040,13-05-2024,45.45,-6.49,457545.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,0.2861,11.37875
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1180609879,16-05-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,1.0004,39.78784
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1180609933,16-05-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.7147,28.425
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1180932011,17-05-2024,45.45,-6.49,457545.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,0.5719,22.74557
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1181176277,18-05-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.2862,11.38273
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1184158536,22-05-2024,45.45,-6.49,457545.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,3.1434,125.01909
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1189658404,01-06-2024,45.45,-51.94,457545.0,BOX,Issue to Patient,1.1428,39.77193,-45.45136,2.0006,79.56773
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1189898207,02-06-2024,45.45,-25.97,457545.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,1.4292,56.84204
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1190563730,03-06-2024,45.45,-25.97,457545.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,0.8578,34.11636
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1197344543,14-06-2024,45.45,-6.49,457546.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,3.2864,130.70648
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1197566446,15-06-2024,45.45,-25.97,457546.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,2.715,107.98079
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1197678605,16-06-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,2.4293,96.61795
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1197841868,17-06-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,2.1436,85.25511
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1198055241,18-06-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,2.1436,85.25511
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1198298631,19-06-2024,45.45,-12.99,457545.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,1.8579,73.89227
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1198298636,19-06-2024,45.45,-12.99,457546.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,1.5722,62.52943
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1198339843,19-06-2024,45.45,-51.94,457546.0,BOX,Issue to Patient,1.1428,39.77193,-45.45136,0.5722,22.7575
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1198401898,19-06-2024,45.45,-6.49,457546.0,BOX,Issue to Patient,0.1428,39.77193,-5.67943,0.4294,17.07807
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1199074788,20-06-2024,45.45,-25.97,457546.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,1.858,73.89625
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1199251701,21-06-2024,45.45,-51.94,457546.0,BOX,Issue to Patient,1.1428,39.77193,-45.45136,1.0009,39.80773
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1199251706,21-06-2024,45.45,-25.97,457546.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,0.4295,17.08204
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1199479397,22-06-2024,45.45,-25.97,457546.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,0.7152,28.44489
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1199486667,22-06-2024,45.45,-12.99,457546.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.4295,17.08204
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1200056819,23-06-2024,45.45,-25.97,457546.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,0.8581,34.12829
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1200066977,23-06-2024,45.45,-12.99,457546.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.5724,22.76545
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1200643302,24-06-2024,45.45,-12.99,457546.0,BOX,Issue to Patient,0.2857,39.77193,-11.36284,0.2867,11.40261
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1200836789,24-06-2024,45.45,-25.97,457545.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,2.001,79.58363
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1201236330,25-06-2024,45.45,-25.97,457545.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,1.4296,56.85795
6450030007,DIFLUCAN 50 MG CAP 7'S,Medicine,Rayan Hospital,RYN_IP,,,,1201823041,26-06-2024,45.45,-25.97,457545.0,BOX,Issue to Patient,0.5714,39.77193,-22.72568,0.8582,34.13227
