Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1113548425.0,06-01-2024,72.86,-72.86,505841.0,BOX,Issue to Patient,1.0,29.38202,-29.38202,8.0,235.05618
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116027007.0,10-01-2024,72.86,-145.72,505841.0,BOX,Issue to Patient,2.0,29.38202,-58.76404,6.0,176.29213
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1118236173.0,15-01-2024,72.86,-72.86,505841.0,BOX,Issue to Patient,1.0,29.38202,-29.38202,5.0,146.91011
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1136180044.0,17-02-2024,72.86,-145.72,505841.0,BOX,Issue to Patient,2.0,29.38202,-58.76404,3.0,88.14607
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1145887570.0,06-03-2024,72.86,-72.86,505851.0,BOX,Issue to Patient,1.0,24.037,-24.037,12.0,288.44404
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1146592396.0,07-03-2024,72.86,-145.72,505851.0,BOX,Issue to Patient,2.0,24.037,-48.07401,10.0,240.37003
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1157265254.0,29-03-2024,72.86,-72.86,505851.0,BOX,Issue to Patient,1.0,24.037,-24.037,9.0,216.33303
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1167881029.0,23-04-2024,72.86,-72.86,505851.0,BOX,Issue to Patient,1.0,24.037,-24.037,8.0,192.29603
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1170407466.0,28-04-2024,72.86,-145.72,505851.0,BOX,Issue to Patient,2.0,24.037,-48.07401,6.0,144.22202
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1178857868.0,13-05-2024,72.86,-72.86,505841.0,BOX,Issue to Patient,1.0,24.037,-24.037,5.0,120.18502
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1185682828.0,25-05-2024,72.86,-72.86,505841.0,BOX,Issue to Patient,1.0,22.968,-22.968,14.0,321.55199
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1190366489.0,02-06-2024,72.86,-72.86,505852.0,BOX,Issue to Patient,1.0,22.968,-22.968,13.0,298.58399
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1192357551.0,05-06-2024,72.86,-72.86,505851.0,BOX,Issue to Patient,1.0,22.968,-22.968,12.0,275.616
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1200980623.0,24-06-2024,72.86,-72.86,505852.0,BOX,Issue to Patient,1.0,22.968,-22.968,11.0,252.648
6100100003,ISOSORBIDE DINITRATE 5 MG SL TAB 50'S(N),Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1202646130.0,27-06-2024,72.86,-145.72,505852.0,BOX,Issue to Patient,2.0,22.968,-45.936,9.0,206.712
