Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1123119178.0,23-01-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09993,-39.09993,6.0,234.59959
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1123598706.0,24-01-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09993,-39.09993,5.0,195.49966
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1132487352.0,10-02-2024,52.13,-104.26,508830.0,PCS,Issue to Patient,2.0,39.09993,-78.19986,3.0,117.29979
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1139264459.0,23-02-2024,52.13,-104.26,508830.0,PCS,Issue to Patient,2.0,39.09993,-78.19986,1.0,39.09993
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1148755399.0,12-03-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,6.0,234.59994
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1155973256.0,26-03-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,5.0,195.49995
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1165839231.0,20-04-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,4.0,156.39996
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1176613304.0,09-05-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,3.0,117.29997
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1197324633.0,14-06-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,2.0,78.19998
6040060007,JJ BABY OIL-500ML,Cosmetic,Rayan ER Pharmacy,RYN_ERP,,,,1197992794.0,18-06-2024,52.13,-52.13,508830.0,PCS,Issue to Patient,1.0,39.09999,-39.09999,1.0,39.09999
