Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1110968454.0,01-01-2024,27.7,-193.9,457771.0,BOX,Issue to Patient,7.0,23.08241,-161.57687,13.0,300.07133
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1111183316.0,01-01-2024,27.7,-83.1,457771.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,10.0,230.8241
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1112031905.0,03-01-2024,27.7,-83.1,457771.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,7.0,161.57687
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1115456917.0,09-01-2024,27.7,-55.4,457772.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,25.0,577.06025
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1115778749.0,10-01-2024,27.7,-55.4,457772.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,23.0,530.89543
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1124285612.0,26-01-2024,27.7,-27.7,457772.0,BOX,Issue to Patient,1.0,23.08241,-23.08241,22.0,507.81302
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1124863077.0,27-01-2024,27.7,-83.1,457772.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,19.0,438.56579
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,Central Compounding Lab,CCL_CL,REP9116,1127738061.0,01-02-2024,27.7,-138.5,457771.0,BOX,Intransit Shipment,5.0,23.08241,-115.41205,14.0,323.15374
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,Central Compounding Lab,CCL_CL,REP9116,1127738061.0,01-02-2024,27.7,-138.5,457772.0,BOX,Intransit Shipment,5.0,23.08241,-115.41205,9.0,207.74169
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1131816364.0,08-02-2024,27.7,-55.4,457772.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,7.0,161.57687
